Grades,Gender,Subject,Class,Exam term,Student_id,First name,Last name,Email,Age,Attendance,Midterm exam,Final term exam,Total score,Family income
A-,Male,Science,10-B,Final,1230,Thomas,Mcneil,douglasscott@guzman-gentry.com,15,92%,31,45,76,"₹80,000"
A,Female,Geography,10-C,Midterm,1231,Shelley,Wells,lindarichards@gmail.com,18,89%,29,21,50,"₹80,000"
A-,Male,Science,10-B,Midterm,1232,Tammy,Wu,alyssarodriguez@lopez.com,15,88%,30,34,64,"₹70,000"
C+,Female,Science,10-C,Final,1233,Richard,Johnson,vmiller@davis.com,18,82%,24,33,57,"₹60,000"
C,Male,English,10-A,Midterm,1234,Cynthia,Thomas,franklinalexandria@yahoo.com,16,86%,31,36,67,"₹20,000"
A-,Male,Geography,10-B,Midterm,1235,Patricia,Castaneda,chris40@walters-baxter.com,17,77%,31,42,73,"₹50,000"
C,Male,English,10-B,Final,1236,Brandon,Randall,mooreray@hotmail.com,16,84%,37,43,80,"₹40,000"
A-,Female,Math,10-C,Final,1237,Jesse,Mcpherson,gillmary@yahoo.com,16,83%,44,38,82,"₹40,000"
B+,Male,English,10-A,Final,1238,Tyler,Ferguson,scottwarren@graham.com,17,82%,22,22,44,"₹20,000"
A,Male,History,10-C,Final,1239,Samuel,Robinson,nsimpson@yahoo.com,15,80%,43,26,69,"₹80,000"
C+,Female,Geography,10-C,Final,1240,Bryan,Evans,pwood@castillo.info,15,98%,48,28,76,"₹70,000"
B,Male,Math,10-B,Final,1241,Michael,Cook,justinrivera@barnes.info,15,94%,29,47,76,"₹60,000"
B+,Male,Science,10-A,Final,1242,Julia,Smith,jennifer18@yahoo.com,17,77%,20,50,70,"₹20,000"
A-,Male,Geography,10-A,Final,1243,Jasmine,Stevenson,jennifermacias@miller.com,14,90%,24,29,53,"₹50,000"
B+,Female,History,10-A,Midterm,1244,Thomas,Wise,tedwards@phillips.com,17,84%,33,31,64,"₹40,000"
B,Female,Science,10-C,Midterm,1245,Kelly,Rodriguez,hevans@hendrix.net,13,91%,49,50,99,"₹50,000"
A,Male,History,10-C,Midterm,1246,Parker,Bell,andreacontreras@lawson.com,13,95%,20,38,58,"₹40,000"
A-,Female,History,10-C,Midterm,1247,Joe,Cohen,ashley60@yahoo.com,14,94%,23,41,64,"₹30,000"
A-,Male,Science,10-A,Midterm,1248,Alexis,Bell,vanessagordon@flores.com,14,89%,41,36,77,"₹20,000"
A,Male,Geography,10-C,Midterm,1249,Danielle,Braun,tiffany79@hotmail.com,18,92%,46,33,79,"₹40,000"
C+,Female,English,10-A,Final,1250,David,Diaz,perezjasmine@hotmail.com,17,94%,28,20,48,"₹50,000"
A,Male,Science,10-C,Midterm,1251,Bradley,Garcia,david83@brown.com,16,89%,33,25,58,"₹80,000"
C+,Male,History,10-C,Final,1252,Kelly,Brown,beltranmelissa@contreras.com,16,90%,23,38,61,"₹60,000"
B+,Female,Geography,10-A,Midterm,1253,Meghan,Arnold,jamesparker@gonzalez.info,17,85%,46,41,87,"₹60,000"
C,Male,Geography,10-B,Midterm,1254,Craig,Whitaker,heather22@hernandez.com,17,86%,49,20,69,"₹40,000"
C+,Male,Geography,10-C,Final,1255,Kayla,Sullivan,wdonovan@allen.com,14,100%,42,29,71,"₹20,000"
B,Male,Science,10-A,Final,1256,Ronald,James,lisaadams@yahoo.com,18,75%,35,45,80,"₹80,000"
A,Female,History,10-B,Midterm,1257,Louis,White,scottleblanc@nguyen.com,18,90%,46,24,70,"₹50,000"
B,Male,History,10-C,Midterm,1258,Kevin,Ellis,misty25@mccoy.biz,18,85%,39,44,83,"₹60,000"
A,Female,English,10-C,Final,1259,Jennifer,Scott,zmathis@hotmail.com,16,83%,50,44,94,"₹30,000"
C+,Male,English,10-A,Final,1260,Krista,Salazar,moranjames@gmail.com,18,78%,50,21,71,"₹70,000"
A-,Male,English,10-C,Midterm,1261,Alan,Stephens,hardingeorge@gmail.com,14,77%,46,40,86,"₹30,000"
A-,Male,History,10-C,Midterm,1262,Sandra,Alvarez,grosssarah@griffin-wells.net,13,94%,30,23,53,"₹40,000"
B,Female,History,10-B,Midterm,1263,James,Martin,seanwilliams@frazier.org,16,87%,25,23,48,"₹50,000"
C,Female,Geography,10-B,Midterm,1264,Melissa,Roberson,sarah46@baker.net,14,86%,35,40,75,"₹80,000"
B+,Female,English,10-B,Final,1265,James,Owens,hillerika@yahoo.com,18,85%,34,45,79,"₹80,000"
A,Male,Science,10-C,Midterm,1266,Anthony,Huynh,kristinaskinner@moreno-maxwell.com,18,96%,41,22,63,"₹40,000"
B+,Male,Science,10-A,Final,1267,Jason,Patrick,wilsonderrick@hotmail.com,14,92%,48,50,98,"₹60,000"
B,Male,Geography,10-C,Final,1268,David,Palmer,smithvirginia@gmail.com,17,95%,40,49,89,"₹60,000"
A-,Male,History,10-A,Final,1269,Courtney,Miller,betty53@yahoo.com,17,97%,47,21,68,"₹20,000"
B+,Male,Science,10-A,Final,1270,Hunter,Edwards,parkruth@craig.info,13,77%,25,29,54,"₹70,000"
A-,Female,Science,10-B,Final,1271,Allen,Bailey,owenstoni@yahoo.com,16,86%,40,22,62,"₹40,000"
A,Female,Math,10-A,Final,1272,Karen,Hall,aanderson@gmail.com,16,83%,48,30,78,"₹70,000"
B,Female,Science,10-A,Final,1273,Sara,Kemp,jeremycastillo@gmail.com,17,77%,47,48,95,"₹80,000"
A-,Male,English,10-B,Final,1274,Hannah,Davis,robertroberts@fox.com,15,86%,29,35,64,"₹70,000"
B,Male,Science,10-B,Final,1275,Harold,Harmon,jamesdavid@davis.com,14,82%,22,44,66,"₹50,000"
A,Male,Geography,10-B,Final,1276,Brandon,Vasquez,ncastro@johnson-allen.info,16,79%,46,37,83,"₹30,000"
C+,Male,History,10-A,Final,1277,Erik,Bender,wochoa@hotmail.com,17,83%,45,29,74,"₹70,000"
A-,Male,Math,10-A,Midterm,1278,Veronica,Lynch,osmith@yahoo.com,16,83%,33,23,56,"₹80,000"
A-,Female,Math,10-B,Midterm,1279,Tiffany,Flores,jessicaroberts@yahoo.com,17,91%,29,25,54,"₹20,000"
B+,Male,English,10-B,Final,1280,Rachel,Garcia,deborah73@hotmail.com,17,77%,26,21,47,"₹60,000"
B,Female,English,10-A,Midterm,1281,Krystal,Arroyo,cynthiawebb@yahoo.com,15,75%,45,40,85,"₹80,000"
C+,Male,Math,10-C,Final,1282,Kelly,Poole,pkidd@evans-stone.org,18,85%,27,46,73,"₹70,000"
C+,Female,Science,10-A,Midterm,1283,Laurie,Graham,stewartkellie@ryan.com,18,93%,41,29,70,"₹80,000"
B+,Female,English,10-B,Midterm,1284,Tanya,Bell,clarkrenee@gmail.com,15,92%,32,46,78,"₹60,000"
B,Male,Geography,10-A,Midterm,1285,Mark,Alexander,kperez@andrews.com,15,97%,37,32,69,"₹30,000"
C,Male,Geography,10-A,Final,1286,Bradley,Snyder,matthewyoder@gmail.com,18,75%,27,31,58,"₹80,000"
B+,Female,English,10-C,Midterm,1287,April,Ferguson,johnsoneric@martinez.biz,16,79%,35,22,57,"₹30,000"
C,Male,Geography,10-C,Final,1288,Matthew,Sims,hortonjames@johnson.net,15,92%,30,41,71,"₹50,000"
A-,Male,Geography,10-A,Midterm,1289,Nicole,Simmons,ggomez@ballard.com,16,85%,29,43,72,"₹20,000"
C+,Female,Math,10-B,Midterm,1290,Jason,Hansen,michaelgibson@mueller-cabrera.net,15,88%,44,28,72,"₹50,000"
B,Male,History,10-B,Final,1291,Tammy,Stokes,robert70@hull-white.net,17,75%,22,34,56,"₹20,000"
A-,Female,History,10-B,Final,1292,Pamela,Cook,alice05@yahoo.com,18,92%,37,39,76,"₹30,000"
B+,Female,Geography,10-C,Midterm,1293,Kim,Goodwin,christopherburns@hotmail.com,13,78%,49,24,73,"₹20,000"
A-,Male,History,10-A,Midterm,1294,Sarah,Riggs,jhall@hotmail.com,17,75%,30,25,55,"₹60,000"
B+,Male,History,10-B,Midterm,1295,Danny,Martin,catherinemiller@turner-christensen.com,13,93%,43,40,83,"₹70,000"
C,Male,Geography,10-C,Midterm,1296,Theresa,Perez,steven67@anderson-warren.com,15,96%,50,50,100,"₹80,000"
B+,Female,Geography,10-B,Midterm,1297,Sarah,Rivera,erik65@gmail.com,13,81%,22,26,48,"₹50,000"
B+,Male,Science,10-C,Midterm,1298,Steven,Terrell,virginia71@yahoo.com,13,78%,44,47,91,"₹60,000"
A,Female,Math,10-C,Final,1299,Justin,Smith,rogersdonna@lawrence.com,16,92%,20,47,67,"₹30,000"
A,Male,History,10-B,Midterm,1300,Martha,Ward,michael44@oneal.net,13,88%,47,49,96,"₹40,000"
B+,Female,English,10-C,Final,1301,Benjamin,Young,brenda60@hotmail.com,17,99%,40,42,82,"₹30,000"
C,Female,Science,10-C,Final,1302,Ryan,Roberts,hugheslaurie@gmail.com,17,86%,37,47,84,"₹50,000"
B+,Male,Geography,10-A,Final,1303,Rodney,Alvarez,xmurray@johnson.com,18,92%,47,34,81,"₹80,000"
A-,Male,Geography,10-B,Midterm,1304,Cameron,Evans,berryjessica@jackson.com,18,88%,23,39,62,"₹30,000"
A,Female,Math,10-C,Midterm,1305,Brandon,Bailey,williamkaufman@rodriguez.info,18,96%,26,32,58,"₹20,000"
A-,Male,Math,10-A,Final,1306,Mikayla,Sweeney,pereznoah@mendoza-martin.com,16,79%,41,21,62,"₹80,000"
A-,Female,Geography,10-C,Final,1307,Amanda,Cruz,hubbardphillip@silva-boyd.org,13,92%,39,42,81,"₹60,000"
B,Male,Geography,10-A,Final,1308,Dustin,Young,romeromatthew@gmail.com,13,88%,47,33,80,"₹20,000"
B+,Male,Science,10-A,Midterm,1309,Garrett,Wilson,davidbrady@gmail.com,13,78%,39,29,68,"₹30,000"
C+,Female,Geography,10-A,Final,1310,Timothy,Williams,saguirre@yahoo.com,17,100%,20,40,60,"₹70,000"
B+,Female,History,10-B,Midterm,1311,Anne,Holmes,chenamber@yahoo.com,15,78%,38,22,60,"₹30,000"
C+,Female,Science,10-A,Midterm,1312,Robert,Hill,tcarter@jackson.com,17,78%,28,31,59,"₹20,000"
B+,Male,Geography,10-C,Midterm,1313,Karen,Jones,anthonyconrad@meyer-johnson.com,14,100%,27,43,70,"₹20,000"
C,Female,Geography,10-B,Midterm,1314,Devon,Perez,colekirk@yahoo.com,18,78%,33,36,69,"₹70,000"
C,Female,Science,10-C,Midterm,1315,William,Dalton,oanderson@meyer-jones.com,14,79%,41,29,70,"₹50,000"
C,Female,English,10-C,Midterm,1316,Megan,Brown,logananderson@brown.net,14,90%,29,30,59,"₹40,000"
C,Female,Math,10-A,Final,1317,Richard,Torres,toniwelch@clark.com,14,84%,44,42,86,"₹50,000"
B+,Female,History,10-C,Midterm,1318,Brian,Cantu,knoxandrea@diaz-kennedy.info,17,100%,31,49,80,"₹60,000"
C+,Female,History,10-A,Final,1319,Jeffrey,Santos,ssweeney@wilson-richardson.com,15,87%,33,37,70,"₹30,000"
C,Male,Geography,10-C,Final,1320,Claudia,Alexander,garciaangela@gmail.com,17,83%,22,29,51,"₹50,000"
B+,Male,Math,10-A,Midterm,1321,William,Galloway,ernest75@trujillo.com,17,92%,39,24,63,"₹80,000"
C+,Female,History,10-A,Final,1322,Shelley,Jimenez,hartmaureen@hotmail.com,13,95%,50,25,75,"₹30,000"
C+,Male,Math,10-A,Midterm,1323,Sydney,Santos,pennyryan@zhang-harrell.com,15,88%,41,42,83,"₹30,000"
C,Female,English,10-C,Midterm,1324,Rebecca,Medina,cowancharles@casey.com,13,81%,24,40,64,"₹20,000"
B,Female,Math,10-B,Final,1325,Brent,Harris,lboyer@yahoo.com,16,84%,41,25,66,"₹80,000"
B,Female,English,10-A,Final,1326,Molly,Watts,mcintoshjulie@white.com,14,90%,25,36,61,"₹80,000"
C+,Male,History,10-A,Midterm,1327,Sara,Lopez,katelyn04@webster-powers.com,17,94%,25,43,68,"₹60,000"
C,Female,Geography,10-A,Midterm,1328,Christopher,Mitchell,bakerrebecca@diaz.com,17,97%,23,50,73,"₹40,000"
C,Male,English,10-C,Final,1329,Randy,Stokes,rnelson@houston.com,15,95%,45,20,65,"₹80,000"
B,Female,English,10-C,Final,1330,Shawn,Romero,sheri15@taylor.net,16,92%,28,27,55,"₹60,000"
A-,Male,Science,10-B,Final,1331,Deanna,Greene,brandigraham@page-humphrey.com,16,85%,23,42,65,"₹40,000"
B,Female,Math,10-B,Final,1332,Maria,Rodriguez,abigail13@yahoo.com,18,75%,45,37,82,"₹30,000"
C,Male,History,10-C,Final,1333,Jonathon,Garcia,laurenkrueger@gmail.com,13,88%,42,29,71,"₹50,000"
B,Female,Geography,10-A,Midterm,1334,Brandi,Johnson,katrina08@gmail.com,16,82%,40,42,82,"₹50,000"
A,Male,Geography,10-A,Midterm,1335,Bethany,Austin,stephaniewhite@yahoo.com,13,100%,44,49,93,"₹40,000"
B,Male,Math,10-C,Final,1336,Ricky,Ball,brandon06@banks.com,13,84%,32,36,68,"₹60,000"
C+,Female,Science,10-B,Final,1337,Becky,Gonzalez,julie74@lynch-davis.com,18,85%,23,34,57,"₹30,000"
C+,Male,History,10-B,Final,1338,David,Macias,jaywalton@thompson.com,14,100%,47,34,81,"₹30,000"
B+,Male,Science,10-B,Final,1339,Mikayla,Martin,lynn71@holmes.com,17,80%,34,37,71,"₹80,000"
C,Male,Science,10-C,Midterm,1340,Christie,Chavez,edelgado@montgomery-clark.info,14,82%,45,42,87,"₹80,000"
B,Female,Geography,10-B,Final,1341,Courtney,Rice,toni83@gmail.com,17,75%,26,42,68,"₹60,000"
C,Male,History,10-C,Midterm,1342,Jacqueline,Phelps,lesterlinda@bass.com,15,97%,42,26,68,"₹50,000"
A-,Female,Geography,10-B,Final,1343,Jeffrey,Miller,tamara70@hotmail.com,16,78%,31,20,51,"₹60,000"
B,Male,Geography,10-B,Midterm,1344,Andrew,Smith,heathercrawford@smith.biz,13,85%,45,38,83,"₹80,000"
B,Male,Science,10-C,Final,1345,Catherine,Gray,noahwhite@gmail.com,16,75%,47,40,87,"₹80,000"
C+,Female,History,10-B,Final,1346,Brandon,Weiss,donnajimenez@harper-turner.com,18,90%,39,47,86,"₹20,000"
A-,Male,Science,10-C,Final,1347,Amy,Bailey,david19@yahoo.com,14,78%,21,32,53,"₹50,000"
A-,Male,English,10-A,Midterm,1348,Shawn,Finley,tsantana@gmail.com,15,96%,47,38,85,"₹80,000"
A,Male,Math,10-C,Final,1349,Alexander,May,davisernest@gmail.com,16,88%,30,20,50,"₹80,000"
B+,Female,Math,10-C,Midterm,1350,Lisa,Irwin,francis26@vasquez.biz,13,90%,30,47,77,"₹70,000"
A-,Female,History,10-B,Midterm,1351,Curtis,Ortega,leeclarence@gmail.com,13,93%,50,34,84,"₹20,000"
A-,Female,Geography,10-A,Final,1352,Derek,Price,jbailey@mitchell.com,16,99%,30,32,62,"₹80,000"
C+,Male,Science,10-A,Midterm,1353,Clarence,Peters,mejiaandrew@griffin.biz,16,83%,22,39,61,"₹70,000"
A-,Female,Science,10-C,Final,1354,Suzanne,Davidson,zblevins@gmail.com,16,98%,37,49,86,"₹40,000"
B+,Male,English,10-B,Final,1355,Thomas,Vazquez,harperjeffrey@white-rose.biz,16,82%,35,41,76,"₹80,000"
C+,Female,History,10-B,Midterm,1356,Charlotte,Thomas,jay00@gmail.com,13,96%,26,27,53,"₹40,000"
B+,Female,English,10-B,Final,1357,Kathleen,Green,peterconway@gmail.com,17,79%,31,27,58,"₹70,000"
A,Female,English,10-A,Midterm,1358,Michelle,Fowler,zclayton@gmail.com,14,81%,33,31,64,"₹50,000"
B,Male,Geography,10-C,Final,1359,Robert,Ray,ballardnicole@gmail.com,16,94%,28,33,61,"₹60,000"
C+,Male,Science,10-C,Final,1360,Michelle,Thompson,angelahebert@yahoo.com,16,88%,36,31,67,"₹40,000"
A,Female,English,10-C,Final,1361,Bradley,Hart,sandrabaker@gmail.com,15,91%,40,31,71,"₹60,000"
C,Male,Math,10-C,Midterm,1362,Michael,Nelson,nicole56@fitzgerald.com,14,82%,34,46,80,"₹20,000"
C+,Female,Geography,10-B,Final,1363,Jennifer,Hernandez,ysoto@turner-soto.org,17,84%,38,33,71,"₹70,000"
B,Female,Math,10-C,Midterm,1364,Mary,Ward,dana46@yahoo.com,13,75%,42,28,70,"₹80,000"
A-,Male,History,10-C,Final,1365,Jennifer,Klein,pwilson@king.com,17,87%,32,36,68,"₹30,000"
A-,Male,English,10-C,Midterm,1366,Richard,Stewart,cynthia08@hotmail.com,14,78%,42,34,76,"₹70,000"
B,Female,Science,10-B,Midterm,1367,Colton,Castro,carlsonrichard@hotmail.com,17,85%,29,37,66,"₹50,000"
B+,Male,History,10-B,Midterm,1368,Karen,Hunt,wschmitt@johnson-cardenas.info,13,76%,49,24,73,"₹20,000"
B,Male,Science,10-C,Midterm,1369,Sarah,Ochoa,qspears@dickerson.biz,15,75%,30,49,79,"₹60,000"
A-,Female,English,10-A,Midterm,1370,Tiffany,Wells,matthew66@smith-higgins.com,18,81%,30,22,52,"₹30,000"
A,Female,Math,10-B,Final,1371,Gilbert,Davis,zachary95@callahan.com,13,85%,49,43,92,"₹50,000"
A-,Male,Science,10-C,Midterm,1372,Holly,Collins,hartmannicholas@hotmail.com,13,84%,30,36,66,"₹50,000"
C+,Male,History,10-B,Final,1373,Suzanne,Wu,xbecker@hotmail.com,13,88%,21,29,50,"₹20,000"
B+,Male,Science,10-C,Final,1374,Ryan,Gonzalez,vincentmeghan@jenkins-olson.biz,13,88%,46,26,72,"₹40,000"
B+,Female,Science,10-A,Midterm,1375,Sharon,Gallagher,ajohnson@yahoo.com,18,94%,50,35,85,"₹20,000"
B+,Male,History,10-A,Final,1376,Brian,Simon,staceydavies@gmail.com,16,92%,46,30,76,"₹50,000"
A-,Female,English,10-C,Final,1377,Billy,Hall,mackenzie77@fox-tucker.com,15,75%,46,21,67,"₹80,000"
B,Female,History,10-B,Final,1378,Trevor,Bailey,lee90@lozano.net,14,85%,36,27,63,"₹70,000"
A,Female,English,10-B,Midterm,1379,Martin,Leonard,unoble@mathis-edwards.org,16,87%,33,43,76,"₹60,000"
B,Male,English,10-B,Final,1380,William,Harris,christian67@hotmail.com,17,92%,45,50,95,"₹30,000"
B,Male,Geography,10-A,Midterm,1381,Nicholas,Copeland,angelicawagner@durham-durham.com,18,76%,33,35,68,"₹40,000"
B+,Male,Geography,10-B,Final,1382,Eric,Beltran,ryanmartinez@hotmail.com,18,98%,33,29,62,"₹50,000"
A,Female,Science,10-C,Final,1383,Xavier,Noble,mbailey@hotmail.com,16,94%,27,31,58,"₹50,000"
A,Female,English,10-B,Midterm,1384,Angela,Davis,megan65@hotmail.com,18,76%,32,27,59,"₹80,000"
B,Female,Science,10-B,Final,1385,Melissa,Sullivan,william40@cummings.org,18,95%,40,47,87,"₹20,000"
B+,Male,Math,10-B,Final,1386,Jacob,Hernandez,stevensimon@black.com,13,89%,32,46,78,"₹20,000"
B,Female,English,10-B,Final,1387,Amy,Jones,jasminerivera@torres.net,17,87%,40,28,68,"₹30,000"
A,Male,Math,10-A,Final,1388,Bridget,Ewing,gloveradam@dunn.com,13,80%,27,26,53,"₹20,000"
B+,Male,English,10-A,Final,1389,Stacy,Steele,daniel94@cooper.com,16,96%,38,34,72,"₹80,000"
B,Female,Math,10-A,Midterm,1390,Michelle,Manning,ylopez@gonzalez.net,15,98%,38,26,64,"₹40,000"
A,Male,Geography,10-A,Midterm,1391,Jennifer,Chapman,stephenanderson@yahoo.com,18,89%,21,27,48,"₹40,000"
C,Female,English,10-C,Midterm,1392,Leslie,Williams,iwagner@gmail.com,14,96%,23,39,62,"₹40,000"
B+,Female,Science,10-A,Midterm,1393,James,Fields,lorimason@williams.info,15,85%,31,49,80,"₹20,000"
A,Male,Geography,10-A,Final,1394,Richard,Reid,rosschristine@page.biz,13,100%,34,38,72,"₹70,000"
B,Female,Science,10-A,Midterm,1395,Penny,Murray,vmiller@jacobs-meza.org,15,75%,33,26,59,"₹60,000"
A,Female,Math,10-B,Midterm,1396,Todd,Brown,bishopgary@harris.com,14,87%,32,26,58,"₹60,000"
C+,Female,Geography,10-A,Final,1397,Christopher,Matthews,qhall@gmail.com,13,92%,44,37,81,"₹70,000"
C+,Male,History,10-A,Midterm,1398,Austin,Lawrence,kenneth32@yahoo.com,15,82%,39,29,68,"₹40,000"
C+,Female,Science,10-B,Midterm,1399,Aaron,Hawkins,martinezscott@hall.com,13,83%,29,33,62,"₹60,000"
B+,Male,Geography,10-B,Final,1400,Haley,Ryan,nancyjimenez@gmail.com,14,92%,41,40,81,"₹50,000"
A,Female,Science,10-A,Midterm,1401,Kevin,Johnson,kalexander@hotmail.com,18,98%,21,47,68,"₹50,000"
B+,Male,Math,10-C,Final,1402,Jimmy,Mendez,patrick96@hotmail.com,13,79%,43,43,86,"₹40,000"
C+,Female,History,10-A,Midterm,1403,William,Shaffer,justin59@gmail.com,15,83%,44,48,92,"₹40,000"
B+,Female,Science,10-C,Midterm,1404,Christine,Cameron,lortega@gmail.com,18,78%,40,46,86,"₹70,000"
A,Male,History,10-A,Final,1405,Erik,Thompson,john75@hernandez.info,13,84%,41,44,85,"₹30,000"
A-,Male,Geography,10-A,Final,1406,Tonya,Whitehead,bclarke@rose.com,15,99%,50,29,79,"₹70,000"
B,Male,History,10-B,Final,1407,Denise,Allen,valeriemcmillan@odom.com,18,77%,32,48,80,"₹60,000"
A-,Male,Science,10-A,Midterm,1408,Alicia,Kelley,lshelton@dominguez-harrison.biz,13,89%,43,24,67,"₹70,000"
C+,Male,Geography,10-B,Midterm,1409,Robert,Flores,kcasey@hernandez-jackson.com,17,99%,49,35,84,"₹70,000"
A-,Female,Math,10-C,Midterm,1410,James,Evans,martinezdiana@jones-bailey.org,16,91%,43,42,85,"₹30,000"
C,Male,Science,10-B,Final,1411,Donald,Mendoza,javier51@yahoo.com,17,81%,40,48,88,"₹40,000"
B,Female,History,10-A,Final,1412,Margaret,Haney,megan34@simmons.info,17,84%,45,25,70,"₹50,000"
A,Male,Geography,10-A,Midterm,1413,Kimberly,Allen,vhobbs@young.com,16,96%,38,36,74,"₹50,000"
A,Female,Science,10-B,Final,1414,Daniel,Johnson,samuel40@rogers-barron.org,17,93%,25,34,59,"₹80,000"
A,Female,History,10-A,Final,1415,Andres,Bell,millsdavid@smith-king.com,17,77%,49,23,72,"₹20,000"
C,Female,History,10-C,Final,1416,Cindy,Sullivan,joshuaball@hotmail.com,13,91%,24,37,61,"₹50,000"
A-,Male,Math,10-B,Final,1417,Jesse,Newman,ralphgonzalez@griffith.com,17,88%,40,40,80,"₹20,000"
C+,Female,Science,10-A,Midterm,1418,Kenneth,Clay,erica64@hotmail.com,18,75%,36,25,61,"₹30,000"
C,Male,Math,10-C,Final,1419,Susan,Mora,martinezjennifer@yahoo.com,13,100%,22,24,46,"₹70,000"
C+,Male,History,10-B,Midterm,1420,Alexandria,Wood,sandra35@hotmail.com,18,84%,45,23,68,"₹30,000"
C,Male,Geography,10-C,Final,1421,Jacob,May,oconnorjesse@francis.com,17,82%,27,49,76,"₹70,000"
A-,Male,Science,10-C,Midterm,1422,Adam,Howell,brittanygonzalez@hotmail.com,17,94%,23,35,58,"₹60,000"
B,Male,Geography,10-A,Midterm,1423,Stephanie,Davis,erintyler@hotmail.com,17,83%,41,21,62,"₹40,000"
C,Female,Geography,10-B,Final,1424,Amy,Anderson,gelliott@baker-bailey.com,16,89%,31,46,77,"₹70,000"
C+,Female,English,10-A,Final,1425,April,Evans,karen55@yahoo.com,15,87%,31,27,58,"₹60,000"
A-,Male,English,10-C,Final,1426,Renee,Simon,nicolerojas@hotmail.com,13,85%,24,28,52,"₹50,000"
A-,Male,Science,10-A,Midterm,1427,Karen,Boyd,dgardner@sullivan.com,14,75%,30,38,68,"₹40,000"
C,Female,English,10-A,Final,1428,Gabriel,Taylor,johnchavez@stewart.org,17,75%,37,26,63,"₹70,000"
C,Female,Geography,10-B,Midterm,1429,Timothy,Freeman,jonesjeremiah@hotmail.com,17,91%,21,49,70,"₹40,000"
B+,Female,History,10-B,Final,1430,Stephanie,Jennings,uchavez@goodman.com,17,79%,35,49,84,"₹60,000"
A,Female,English,10-B,Final,1431,Debbie,Clarke,vcrawford@yahoo.com,13,82%,26,41,67,"₹60,000"
C,Male,English,10-B,Midterm,1432,David,Black,robinfrancis@york-nelson.net,15,89%,46,27,73,"₹80,000"
B,Male,English,10-B,Midterm,1433,David,Burns,zcruz@huerta.com,14,95%,27,33,60,"₹80,000"
C+,Female,Science,10-B,Final,1434,Russell,Hicks,kimberly74@yahoo.com,14,88%,47,22,69,"₹70,000"
A,Female,Science,10-B,Midterm,1435,Sara,Hernandez,cathy39@mccall.org,13,100%,26,32,58,"₹70,000"
A-,Female,Geography,10-A,Midterm,1436,David,Williams,ebennett@hotmail.com,16,90%,25,39,64,"₹80,000"
A,Male,History,10-C,Midterm,1437,Joanna,Rodriguez,kelli83@armstrong.com,15,80%,30,27,57,"₹70,000"
B,Female,English,10-B,Final,1438,John,Khan,laurenstone@jones.org,16,100%,24,23,47,"₹40,000"
C,Male,Geography,10-B,Final,1439,Nicole,Lowe,christina52@hotmail.com,13,91%,32,25,57,"₹80,000"
B+,Male,History,10-C,Final,1440,Anthony,Stout,katherine36@hernandez.com,15,93%,29,20,49,"₹80,000"
C+,Male,Geography,10-B,Final,1441,Jenna,Valdez,cfuentes@sullivan.com,14,79%,25,33,58,"₹40,000"
B,Male,History,10-B,Final,1442,Craig,Gonzalez,zsimmons@rodriguez.com,14,84%,22,24,46,"₹20,000"
A,Male,Geography,10-A,Midterm,1443,Patricia,Martin,jessica18@schwartz-baker.com,14,81%,39,28,67,"₹20,000"
B,Male,Math,10-B,Midterm,1444,William,Ball,dandrews@mclaughlin.com,15,93%,36,46,82,"₹20,000"
B,Female,Science,10-A,Final,1445,Anne,Murphy,jennifer52@gmail.com,14,99%,37,27,64,"₹30,000"
C+,Female,History,10-C,Final,1446,Amber,Martin,ashleycrane@gmail.com,14,84%,42,21,63,"₹50,000"
A,Female,Geography,10-A,Midterm,1447,Angela,Krueger,amanning@hotmail.com,14,81%,37,28,65,"₹50,000"
C,Male,English,10-B,Final,1448,Kathy,Hayes,kevin91@holmes-bates.com,18,80%,26,22,48,"₹30,000"
C+,Female,Science,10-A,Midterm,1449,Todd,Schmidt,wesley67@scott-king.com,13,86%,35,26,61,"₹40,000"
A,Female,History,10-B,Final,1450,Nicole,Adams,david56@hotmail.com,13,91%,32,28,60,"₹80,000"
C,Male,Geography,10-A,Final,1451,Tiffany,Obrien,xfields@gmail.com,18,92%,20,40,60,"₹70,000"
A,Male,Math,10-C,Final,1452,Sheila,Garcia,cfrancis@yahoo.com,14,96%,25,39,64,"₹80,000"
A,Female,Math,10-B,Midterm,1453,Rachel,Hughes,davissteven@brock-anderson.com,13,76%,42,32,74,"₹20,000"
B,Female,History,10-A,Midterm,1454,Karen,Porter,jessica36@gmail.com,15,94%,45,50,95,"₹20,000"
B+,Male,Geography,10-B,Final,1455,Jeffery,Mcclain,lori45@lowe.biz,16,82%,27,27,54,"₹50,000"
A,Male,Math,10-B,Midterm,1456,Anthony,Todd,alexisshannon@morrow.com,16,76%,45,50,95,"₹80,000"
B,Male,Science,10-B,Midterm,1457,Tamara,Sanchez,fischerkimberly@jackson.com,17,75%,28,41,69,"₹40,000"
C+,Female,History,10-C,Midterm,1458,Dana,Weaver,geoffrey20@gmail.com,16,84%,43,40,83,"₹80,000"
B,Female,History,10-A,Midterm,1459,David,Roy,reedbob@hotmail.com,13,84%,26,41,67,"₹80,000"
B+,Female,English,10-B,Final,1460,Michael,Bush,ashleycarrillo@yahoo.com,14,79%,24,50,74,"₹70,000"
